402840,Codename Entertainment Inc.
261640,2K,Aspyr (Mac),Aspyr (Linux)
364470,Bethesda Softworks
663090,"IMCGAMES Co.,Ltd."
266840,Xbox Game Studios
203160,Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)
291650,Paradox Interactive
372000,"IMCGAMES Co.,Ltd."
456610
212680,Subset Games
337000,Square Enix,Feral Interactive (Linux),Feral Interactive (Mac)
415200,SEGA
32470,LucasArts,Lucasfilm,Disney Interactive
397900,8Floor
569480,"Lion Shield, LLC"
444640,Ninja Kiwi
473690,Devolver Digital
433340,Monomi Park
234140,Warner Bros. Interactive Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)
298110,Ubisoft
201810,Bethesda-Soft
290080,Bitbox Ltd.
445220,Boxelware
335240,Atelier 801
8800,2K
208650,Warner Bros. Interactive Entertainment
329110,505 Games
326460,kChamp Games
529180,Snail Games USA
438740,Gun Media
8980,2K
521630,Giant Fox Studios
220,Valve
393420,Bankroll Studios
22330,Bethesda Softworks
20920,CD PROJEKT RED,1C-SoftClub
253710,Expansive Worlds,Avalanche Studios
3910,2K
516750,Amistech Games
252530,Aerosoft GmbH
360430,2K,Aspyr (Mac)
612020,Berzerk Studio
391540,tobyfox
12120,Rockstar Games
286940
20900,CD PROJEKT RED,1C-SoftClub
342200,Piranha Games Inc.
431240,Team17 Digital Ltd
466560,Shiro Games
6060,Lucasfilm,LucasArts,Disney Interactive
10090,Activision
339600,KIXEYE
339610,Joycity
333420,GSC Game World
212500,"Standing Stone Games, LLC"
235540,Fatshark
269210,Panic Art Studios
531640,Dire Wolf Digital
65930,2K
310950,Capcom
275850,Hello Games
367500,Capcom
448440,Proximity Games
12210,Rockstar Games
226840,Paradox Interactive
601430,Bethesda Softworks
675010,Focus Home Interactive
17390,Electronic Arts
1840,Valve
646570,Mega Crit Games
297000,Ubisoft Entertainment
113400,Little Orbit
612510,"Project ""The Game"""
263280,Oovee® Game Studios
206420,Deep Silver
236870,IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)
624120,SEGA
220240,Ubisoft
521890,tinyBuild
438100,VRChat Inc.
299740,Entrada Interactive LLC
65980,2K,Aspyr (Mac),Aspyr (Linux)
219640,Torn Banner Studios
588650,Motion Twin
442080,Nexon America
55230,Deep Silver
221680,Ubisoft
261430
208580,LucasArts,Disney Interactive,Lucasfilm,"Aspyr (Mac, Linux)"
550900
459820,Sad Panda Studios
310560,Codemasters,Feral Interactive (Linux),Feral Interactive (Mac)
434650,Another Indie
393430,Iceflake Studios
71270,SEGA
200710,Runic Games
205100,Bethesda Softworks
349040,BANDAI NAMCO Entertainment
300,Valve
213670,Ubisoft
50130,2K,Feral Interactive (Mac)
334230,BlankMediaGames
319630,Square Enix,Feral interactive (Mac),Feral Interactive (Linux)
245620,Kalypso Media Digital
204880,Stardock Entertainment
449540,K Bros Games
451340,Code Horizon,PlayWay S.A.
80,Valve
288390
376210,Afterthought LLC
488790,Ubisoft
542650,Alekseev
22490
429660,BANDAI NAMCO Entertainment
35450,Tripwire Interactive
313160,Giants Software
455940,irritatingFLY studio
447820,New World Interactive
286690,Deep Silver
607890,BANDAI NAMCO Entertainment
251060,Focus Home Interactive
375450,"KOEI TECMO GAMES CO., LTD."
657200,HFM Games
304030,Trion Worlds
311690,Devolver Digital
47410,FireFly Studios
42710,Activision
592600,Konami Digital Entertainment  
24200,Daybreak Game Company
627270,WB Games
236110,Trendy Entertainment
438020,New Reality Games
1250,Tripwire Interactive
207890,SEGA
365670,Blender Foundation
307780,Warner Bros. Interactive Entertainment
42680,Activision,Aspyr (Mac)
108600,The Indie Stone
454180,Anea_Duo_Dev
454150,Firehawk Studios
564710,Armor Games Studios
361420,System Era Softworks
285190,SEGA,Feral Interactive (Mac),Feral Interactive (Linux)
10180,Activision,Aspyr (Mac)
113200,Edmund McMillen
287390,Deep Silver
581690
363890,Degica
357290,KishMish Games
204360,The Behemoth
374040,505 Games
269950,Laminar Research
217490
465650,Out of the Park Developments
641990,Team17 Digital Ltd
557400,Holyday Studios
537180,MOVE ON USA CO.
215080,Ankama Games
289130,SEGA
504730
42750
302830,Novalink
8870,2K,Aspyr (Mac)
204300,Ronimo Games
224260,Lever Games
706220
212160,NEXON Korea Corp. & NEXON America Inc.
558990,Zachtronics
3900,2K
589290,Anvil Game Studios
502520,Game-Labs
550470,Gameforge 4D GmbH
609150,Square Enix
496460,Bitbox Ltd.
32370,LucasArts,Aspyr (Mac),Disney Interactive,Lucasfilm
466170,Shugasu GmbH
9450,SEGA
203290,U.S. Army
306020,Ninja Kiwi
287450,Xbox Game Studios
42960,Paradox Interactive
610120,Anate Studio
650500
236690,Focus Home Interactive
439350
434170,"Jackbox Games, Inc."
370240,2K
427270,Robot Entertainment
2870,Egosoft
446150,"PlayStation Mobile, Inc."
234630,Slightly Mad Studios,BANDAI NAMCO Entertainment
249130,Warner Bros. Interactive Entertainment,Feral Interactive (Mac)
685310,Coconut Shavers
226860,Stardock Entertainment
236430,BANDAI NAMCO Entertainment,"FromSoftware, Inc"
47810,Electronic Arts
200260,Warner Bros. Interactive Entertainment,Feral Interactive (Mac)
238090,Rebellion
228280,Beamdog
285920,Payload Studios
210770,Coffee Stain Publishing
268420,Aeria Games
400,Valve
368070,CI Games
331470,Soviet Games
495910,Neople
312530,Adult Swim Games
238460,The Behemoth
311310,Game-Labs
321040
365960,Studio 397
581600,JDRumble
722060,Illwinter Game Design
365360,Overhype Studios
292730,Activision
70,Valve
212910
388660,JDRumble
368500,Ubisoft
24960,Electronic Arts
389300
225260,Double Fine Productions
211500,Sector3 Studios,RaceRoom Entertainment AG
40970,FireFly Studios
237310,KOG Games
33230,Ubisoft
333950,Keen Software House
541180
289650,Ubisoft
555830,Patagoniart
474960,Microsoft Studios
391040,Codemasters,Feral Interactive (Mac)
215280,Funcom
33350
666220,Unreal Software
404730
545580,Neon Green Pin Games
246620,Ndemic Creations
42700,Activision
332310,Warner Bros. Interactive Entertainment
212070,Gaijin Entertainment
366220,Plug In Digital
282440,Bethesda Softworks
299360,Toadman Interactive,Jagex
431560,Atriagames
22370,Bethesda Softworks
500,Valve
248390,Black Maple Games
619730
344760,Code}{atch
371660,Ubisoft
203140,Io-Interactive A/S,Feral Interactive (Mac)
562730,Badim
39120,Trion Worlds
571740,Perfuse Entertainment
619330,Alekseev
212200,Nexon America Inc.
482750
355840,Vostok Games
554620,Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)
526290,TrisPix Studio
672680,Bytro Labs GmbH
274190,Devolver Digital
624140,SEGA
9420,Square Enix
636480,SteelRaven7
268400,Slitherine Ltd.
110800,Rockstar Games
412290,New Reality Games
221040,Capcom
48720,TaleWorlds Entertainment
414070,Atriagames
232890,FireFly Studios
39140,Square Enix
11020,Ubisoft
388080
22320,Bethesda Softworks
647830,Warner Bros. Interactive,Feral Interactive (Mac)
421020,Codemasters,Feral Interactive (Mac),Feral Interactive (Linux)
3590,"PopCap Games, Inc."
460920,Ubisoft
678800,Ninja Kiwi
463530,Slug Disco Studios
359870,Square Enix
420360,3D Avenue
209000,Warner Bros. Interactive Entertainment
578310,Desertkun
223830,Goldhawk Interactive
322110,Batterystaple Games
345350,Square Enix
323580,Thunder Lotus Games
280,Valve
326410,Tasharen Entertainment Inc.
17440,Electronic Arts
253900,Topware Interactive
533340,New Worlds Games
271360,Toplitz Productions
551670,NedoStudio
592490
721030,Papaya Play
311340,Konami Digital Entertainment
449140,treeform
15210,Ubisoft
514900,Aspyr
271290
319510,Scott Cawthon
233250
681840
552620,AtomTeam
1900,Topware Interactive,ACE
286000,Pocketwatch Games
466860,Pixel Gangsta Studio,Flying Interactive
420440,Killerfish Games
389280
650760
491260,Charyb Games
513570,Infernal Dream
235900,Degica
293760,Camshaft Software
238430,"Monochrome, Inc"
567780,Nuno Donato
402220,89AM Studio
354920,KISS ltd
397350,Rebellion
41500,Runic Games
463680
566050,Activision
375530,Creoteam
473470,New Reality Games
611790,"Eek! Games, LLC"
333640,Freehold Games
231350,UL
313010,Focus Home Interactive
268870,5 Lives Studios
288160,Fireproof Games
282560,Atari,RCTO Productions
467520,Eversim
394870,Black Lime Studio
348250,Google
554510,Maximum Games
292140,Square Enix
466300,Beamdog
478980,Fantasy Flight Games
233980,@unepic_fran
20540,SEGA
322460
314970,Noble Master LLC
465710,Camex Games
561610,Milestone S.r.l.
458960,BANDAI NAMCO Entertainment America
390100,RedFox Games
261470,Slitherine Ltd.
369140
280160,Lince Works
7830,1C Entertainment,1C-SoftClub
215530,NeocoreGames
319910,Frozenbyte
448070,Microblast Games
533180,Abstractive Works
113020,Pocketwatch Games
641780,The Drone Racing League
290790,Grey Box
442780,Devolver Digital
8850,2K,Feral Interactive (Mac)
24670,N3V Games
21100,Warner Bros. Interactive Entertainment
575550,Paradise Project
599460,INDIECN
391720,Aspyr
301910,Deep Silver
645260,Overgroup
740260,Hollowings
567250,!Lim studio
382080,Devdan Games
240320,OVALIS INVESTMENTS LIMITED
407000,Fixer Games
370540,Slitherine Ltd.
233800,Bohemia Interactive
364420,SmashGames
359310,Shiro Games
50650,Nordic Games
214340,Daedalic Entertainment
448470,Sometimes You
298900,Focus Home Interactive
455980,Suncrash
232050,Snowbird Games
13520,Ubisoft
261180,Team Reptile
251290,XSEED Games,"Marvelous USA, Inc."
15120,Ubisoft
420530,Degica
203630,Paradox Interactive
295550,1C Online Games
317600,Archaic Entertainment
268750,SmashGames
487270,André Bertaglia
213850,Wizards of the Coast LLC
335670,"Dingaling Productions, LLC"
9010,Bethesda-Softworks
576130,Lapovich Team
265210,RuneStorm
263060,IndieGala
290930,Filip Victor
307670,Good Shepherd Entertainment
669580,Ediogames
270370,Vortal Storm
3170,1C Entertainment
528210
360830,Team17 Digital Ltd
13230,"Epic Games, Inc."
424280,SnoutUp
223670
263540,Mad Otter Games
304530,Deep Silver
252870,Leafy Games
305260,505 Games
660160,Slitherine Ltd.
310470,Kalypso Media Digital
292180,Aerosoft GmbH
249650,Daedalic Entertainment
289930,astragon Entertainment 
331360
337150,Handelabra Games Inc.
667870,No Moon
625140,Gravity Interactive
296970,Abbey Games
